 NUM. Tp ...NombreB.. Id  # tg Plnt Nombre Gener.Area %per1 Ploa1 Pind1 PerF1 %per2 Ploa2 Pind2 PerF2 %per3 Ploa3 Pind3 PerF3 %per4 Ploa4 Pind4 PerF4 %per5 Ploa5 Pind5 PerF5 Icca
   63  0 Bosa115      co                            5                                                                                                                            0
   64  0 Bosque220    co                            1                                                                                                                            0
   65  0 Bosque66     co                            1                                                                                                                            0
   66  0 Bosqder50319 co                            1                                                                                                                            0
   67  0 Barbosa115   co  1  1 1151 H_Planada       4                                                                                                                            0
   68  0 Brisas115    co  1  1 1064 H_Pastales      3                                                                                                                            0
   69  0 Barroso110   co  1  1 1009 H_Barroso       2                                                                                                                            0
   70  0 Barzal115    co                            5                                                                                                                            0
   71  0 Bureche110   co                            1                                                                                                                            0
   72  0 Buturama115  co                            4                                                                                                                            0
   73  0 TaborBura115 co                            3                                                                                                                            0
   74  0 Calle51115   co                            5                                                                                                                            0
   75  0 Calle67115   co                            5                                                                                                                            0
   76  0 Cabrera115   co                            4                                                                                                                            0
   77  0 Caldas110    co                            2                                                                                                                            0
   78  0 LaCampiña115 co                            3                                                                                                                            0
   79  0 Campestre66  co                            1                                                                                                                            0
   80  0 SanMarcos220 co                            3                                                                                                                            0
   81  0 Caqueza115   co                            5                                                                                                                            0
   82  0 Carriees1101 co                            2                                                                                                                            0
   83  0 Carrieles220 co                            2                                                                                                                            0
   84  0 FactsCSabana co                            1                                                                                                                            0
   85  0 SV_Terinal11 co                            1                                                                                                                            0
   86  0 SV_Terinal21 co                            1                                                                                                                            0
   87  0 Carmel34.5kV co                            3                                                                                                                            0
   88  0 Castelana115 co                            5                                                                                                                            0
   89  0 Catambuco115 co  1  1 1072 H_RioBobo       3                                                                                                                            0
   89  0 Catambuco115 co  2  1 1083 H_RioSapuye     3                                                                                                                            0
   90  0 Cabrera220   co                            4                                                                                                                            0
   91  0 Cabrera113.8 co                            4                                                                                                                            0
   92  0 Cabrera213.8 co                            4                                                                                                                            0
   93  0 Cabañas110   co                            2                                                                                                                            0
   94  0 Caucheras110 co                            2                                                                                                                            0
   95  0 Cocorna110   co                            2                                                                                                                            0
   96  0 Belen115     co                            4                                                                                                                            0
   97  0 Cucuta220    co                            4                                                                                                                            0
   98  0 PtoCaiedo115 co                            3                                                                                                                            0
   99  0 Calderas110  co  1  1  106 CALDERAS        2                                                                                                                            0
   99  0 Calderas110  co  2  1 1143 H_Tatefanes     2                                                                                                                            0
  100  0 Codazzi115   co                            3                                                                                                                            0
  101  0 Central110   co                            2                                                                                                                            0
  102  0 NtpCer1T8    co                            2                                                                                                                            0
  103  0 ChivorII220  co  1  1  403 CHIVOR          5                                                                                                                            0
  103  0 ChivorII220  co  2  2 2084 TERMO_JAGUEY    5                                                                                                                            0
  103  0 ChivorII220  co  3  2 2085 TERMORUBIALE    5                                                                                                                            0
  104  0 Chicala115   co                            5                                                                                                                            0
  105  0 Chipicape115 co                            3                                                                                                                            0
  106  0 Chia115      co                            5                                                                                                                            0
  107  0 Chiquiira115 co  1  1 1069 H_Puente_Gui    4                                                                                                                            0
  108  0 Chorodo110   co  1  1 1008 H_Barrancas     2                                                                                                                            0
  108  0 Chorodo110   co  2  1 1034 H_Herradura     2                                                                                                                            0
  108  0 Chorodo110   co  3  1 1041 H_La_Vuelta     2                                                                                                                            0
  108  0 Chorodo110   co  4  1 1138 H_RioVerde      2                                                                                                                            0
  109  0 Chivor115    co                            5                                                                                                                            0
