#BOR.   #BDE.NN  .RESIS.REACT Nombre						(MW)	 (Num) I C ....1 ....2 ....3 ....4 ....5 iflh Prob(%) Cmon S RPK2 PRTC ..phsmin ..phsmax
  589     510    3.727415.066 sCasi-LaCay                  9999.       225 0 0                                  0      0.    0 0                 0.       0.
  589     549    .07868.31802 sCasi-Sbong                  9999.         6 0 0                                  0      0.    0 0                 0.       0.
  534     630    2.645510.493 P tal-sTol1                  9999.       224 0 0                                  0      0.    0 0                 0.       0.
  541     510    4.032216.298 STama-LaCay                  9999.       226 0 0                                  0      0.    0 0                 0.       0.
  367     565    6.5814 26.16 RioSi-Sserp                  9999.       230 0 0                                  0      0.    0 0                 0.       0.
  381     630    1.07396.6198 Sierr-sTol1                  9999.       215 0 0                                  0      0.    0 0                 0.       0.
  143     589     4.28921.607 Ceret-sCasi                  9999.       559 0 0                                  0      0.    0 0                 0.       0.
  543     367    1.31795.2271 LaUni-RioSi                  9999.       746 0 0                                  0      0.    0 0                 0.       0.
  567     543    .16116.98413 SsycI-LaUni1                 9999.       726 0 0                                  0      0.    0 0                 0.       0.
  567     543    .12883.51101 SsycI-LaUni2                 9999.       725 0 0                                  0      0.    0 0                 0.       0.
  508     253    .757744.9659 SCamp-Monte                 358.53       496 0 0                                  0      0.    0 0                 0.       0.
  253     471    1.52269.9788 Monte-Uraba                 358.53       728 0 0                                  0      0.    0 0                 0.       0.
  143     543    1.70188.6888 Ceret-LaUni                  9999.       560 0 0                                  0      0.    0 0                 0.       0.
  557     265    2.02318.2797 Smang-NvaCo                  9999.       742 0 0                                  0      0.    0 0                 0.       0.
   25     265    2.16277.3351 Apart-NvaCo                  9999.       358 0 0                                  0      0.    0 0                 0.       0.
  518     589    2.43318.3669 Guaya-sCasi1                 9999.       433 0 0                                  0      0.    0 0                 0.       0.
  518     589    2.09758.2491 Guaya-sCasi2                 9999.       921 0 0                                  0      0.    0 0                 0.       0.
    1     598    .070291.0979 Cerro-sCorz                 1870.6       481 0 0                                  0      0.    0 0                 0.       0.
  535     598    .04709.73566 Romos-sCorz                 1870.6       493 0 0                                  0      0.    0 0                 0.       0.
    1     535    0.12111.7101 Cerro-Romos                 1948.6       922 0 0                                  0      0.    0 0                 0.       0.
  535       1    0.15321.6989 Romos-Cerro                 1870.6       523 0 0                                  0      0.    0 0                 0.       0.
  535       2    .261412.8989 Romos-Copey                 1870.6       495 0 0                                  0      0.    0 0                 0.       0.
  552     174    .915725.2646 Scop2-Funda1                205.08       541 0 0                                  0      0.    0 0                 0.       0.
  593     211    7.647322.611 sChur-LaJag                  9999.      1351 0 0                                  0      0.    0 0                 0.       0.
  593     476     6.98420.893 sChur-Valle                  9999.       173 0 0                                  0      0.    0 0                 0.       0.
  552     544    1.68289.6747 Scop2-SVade1                205.08       544 0 0                                  0      0.    0 0                 0.       0.
  552     544    1.44999.8712 Scop2-SVade2                201.65       545 0 0                                  0      0.    0 0                 0.       0.
  643     216    13.63251.248 Acaci-Jepir1                 9999.       567 0 0                                  0      0.    0 0                 0.       0.
  643     233    6.611119.472 Acaci-Maica                  9999.       167 0 0                                  0      0.    0 0                 0.       0.
  643     586    8.392524.778 Acaci-sCama1                 9999.        81 0 0                                  0      0.    0 0                 0.       0.
  570     446     1.769 9.685 Wpec2-Guaji1                216.06       571 0 0                                  0      0.    0 0                 0.       0.
  570     446     1.769 9.685 Wpec2-Guaji2                216.06       566 0 0                                  0      0.    0 0                 0.       0.
  130     585    7.604922.838 Copey-sCaCe1                 9999.       540 0 0                                  0      0.    0 0                 0.       0.
  422     571    6.773626.868 TFun1-E lic                  9999.        93 0 0                                  0      0.    0 0                 0.       0.
  174      85    1.73289.9624 Funda-Terin1                224.97       631 0 0                                  0      0.    0 0                 0.       0.
  174      85    1.6874 9.341 Funda-Terin2                  333.       632 0 0                                  0      0.    0 0                 0.       0.
  174      85    1.68839.3461 Funda-Terin3                290.82       633 0 0                                  0      0.    0 0                 0.       0.
  174     351    .956516.3052 Funda-RCord1                224.97       629 0 0                                  0      0.    0 0                 0.       0.
  189     421    .304552.0153 SVTer-TDm2                  224.97       881 0 0                                  0      0.    0 0                 0.       0.
  176     423     2.0218.2064 Gaira-TPuer                  9999.       285 0 0                                  0      0.    0 0                 0.       0.
  176     397    .769073.0892 Gaira-Santa                  9999.       254 0 0                                  0      0.    0 0                 0.       0.
  230     397    .439591.6866 Liber-Santa                  9999.       115 0 0                                  0      0.    0 0                 0.       0.
  250     397    0.27561.0862 Manza-Santa                  9999.       119 0 0                                  0      0.    0 0                 0.       0.
  110     571    0.51142.0873 Ciena-E lic1                 9999.      1361 0 0                                  0      0.    0 0                 0.       0.
  387     476    5.484316.483 SanJu-Valle                  9999.       181 0 0                                  0      0.    0 0                 0.       0.
  189     434    .211851.1785 SVTer-Termo                 224.97       288 0 0                                  0      0.    0 0                 0.       0.
  446     434    1.50828.3069 Guaji-Termo                 224.97       289 0 0                                  0      0.    0 0                 0.       0.
  446     189     1.6969.3306 Guaji-SVTer                 224.97       882 0 0                                  0      0.    0 0                 0.       0.
  571     423    .29012 1.178 E lic-TPuer                  9999.       286 0 0                                  0      0.    0 0                 0.       0.
  155     544    .707495.3147 Wimke-SVade                 205.08       854 0 0                                  0      0.    0 0                 0.       0.
  174     351    .956516.3052 Funda-RCord2                224.97       630 0 0                                  0      0.    0 0                 0.       0.
  351     189    .340862.2556 RCord-SVTer1                224.97       827 0 0                                  0      0.    0 0                 0.       0.
  351     421    .03632.24032 RCord-TDm2                  224.97       829 0 0                                  0      0.    0 0                 0.       0.
  570     155    .979317.3412 Wpec2-Wimke                 205.08       570 0 0                                  0      0.    0 0                 0.       0.
  643     586    4.953425.073 Acaci-sCama2                 9999.       569 0 0                                  0      0.    0 0                 0.       0.
  233     586    6.070230.667 Maica-sCama                  9999.       720 0 0                                  0      0.    0 0                 0.       0.
  528     422    .00992.03934 Funda-TFun1                  9999.       634 0 0                                  0      0.    0 0                 0.       0.
    2     577    0.04671.0391 Copey-sArig                 1484.8       543 0 0                                  0      0.    0 0                 0.       0.
  577     569    0.10752.3919 sArig-Stupi                 1484.8       781 0 0                                  0      0.    0 0                 0.       0.
  289     172    .205491.2673 Oasis-Fls1N1                 9999.        91 0 0                                  0      0.    0 0                 0.       0.
  289     172    .08013.52813 Oasis-Fls1N2                 9999.       244 0 0                                  0      0.    0 0                 0.       0.
  171     272    .13525.71214 Flore-Terin1                288.07       624 0 0                                  0      0.    0 0                 0.       0.
  171     272    .13525.71214 Flore-Terin2                288.07       626 0 0                                  0      0.    0 0                 0.       0.
   85     428    .712043.9373 Terin-Tebsa1                216.06       857 0 0                                  0      0.    0 0                 0.       0.
   85     428    .712043.9373 Terin-Tebsa2                216.06       859 0 0                                  0      0.    0 0                 0.       0.
   85     428    .649893.9232 Terin-Tebsa3                288.07       861 0 0                                  0      0.    0 0                 0.       0.
  272      85    .765274.6159 Terin-Terin1                288.07       750 0 0                                  0      0.    0 0                 0.       0.
  272      85    .579364.3439 Terin-Terin2                  333.       751 0 0                                  0      0.    0 0                 0.       0.
  272      85    .579364.3439 Terin-Terin3                  333.       752 0 0                                  0      0.    0 0                 0.       0.
  137     272    .227181.3767 Carac-Terin1                287.73       551 0 0                                  0      0.    0 0                 0.       0.
  137     428    .166771.0127 Carac-Tebsa                 287.73       556 0 0                                  0      0.    0 0                 0.       0.
  147     289    .404561.6657 Centr-Oasis                  9999.        58 0 0                                  0      0.    0 0                 0.       0.
  147     385    .08379.34513 Centr-Silen                  9999.        59 0 0                                  0      0.    0 0                 0.       0.
  601     385    .760334.7025 sDviz-Silen1                 9999.       554 0 0                                  0      0.    0 0                 0.       0.
  132     427    .527173.3889 Cordi-Tebsa                  9999.       210 0 0                                  0      0.    0 0                 0.       0.
  358     289    .324861.8222 ElRio-Oasis                  9999.        83 0 0                                  0      0.    0 0                 0.       0.
  358     427    .447682.6671 ElRio-Tebsa                  9999.       166 0 0                                  0      0.    0 0                 0.       0.
