 BCod ..Bus.Name.. LCod dd/mm/yyyy Llev ..Load.. Icca
   47 Banadia115      1 01/01/2023    3       9.    0
   47 Banadia115      1 01/01/2023    4     8.99    0
   47 Banadia115      1 01/01/2023    5     8.05    0
   49 Belencito115    1 01/01/2023    1    42.27    0
   49 Belencito115    1 01/01/2023    2    39.46    0
   49 Belencito115    1 01/01/2023    3     40.4    0
   49 Belencito115    1 01/01/2023    4    40.91    0
   49 Belencito115    1 01/01/2023    5    44.51    0
   50 BelenAuia110    1 01/01/2023    1    61.11    0
   50 BelenAuia110    1 01/01/2023    2    52.02    0
   50 BelenAuia110    1 01/01/2023    3    45.86    0
   50 BelenAuia110    1 01/01/2023    4    46.97    0
   50 BelenAuia110    1 01/01/2023    5    36.69    0
   51 Betania115      1 01/01/2023    1     2.29    0
   51 Betania115      1 01/01/2023    2     2.32    0
   51 Betania115      1 01/01/2023    3     2.22    0
   51 Betania115      1 01/01/2023    4     2.21    0
   51 Betania115      1 01/01/2023    5     1.83    0
   52 Bello110        1 01/01/2023    1    59.18    0
   52 Bello110        1 01/01/2023    2    51.28    0
   52 Bello110        1 01/01/2023    3    46.12    0
   52 Bello110        1 01/01/2023    4    47.01    0
   52 Bello110        1 01/01/2023    5    39.61    0
   55 Bolombolo110    1 01/01/2023    1     5.42    0
   55 Bolombolo110    1 01/01/2023    2     5.14    0
   55 Bolombolo110    1 01/01/2023    3     4.46    0
   55 Bolombolo110    1 01/01/2023    4     4.81    0
   55 Bolombolo110    1 01/01/2023    5      3.8    0
   57 BMalaga115      1 01/01/2023    1     2.03    0
   57 BMalaga115      1 01/01/2023    2     1.89    0
   57 BMalaga115      1 01/01/2023    3      1.8    0
   57 BMalaga115      1 01/01/2023    4     1.81    0
   57 BMalaga115      1 01/01/2023    5      1.6    0
   59 Bmanga115       1 01/01/2023    1    21.58    0
   59 Bmanga115       1 01/01/2023    2     19.5    0
   59 Bmanga115       1 01/01/2023    3    17.82    0
   59 Bmanga115       1 01/01/2023    4    18.16    0
   59 Bmanga115       1 01/01/2023    5    14.51    0
   60 SanAntaca115    1 01/01/2023    1     11.4    0
   60 SanAntaca115    1 01/01/2023    2    11.01    0
   60 SanAntaca115    1 01/01/2023    3    10.78    0
   60 SanAntaca115    1 01/01/2023    4    10.84    0
   60 SanAntaca115    1 01/01/2023    5    10.72    0
   61 Bolivia115      1 01/01/2023    1    46.42    0
   61 Bolivia115      1 01/01/2023    2    40.49    0
   61 Bolivia115      1 01/01/2023    3    37.04    0
   61 Bolivia115      1 01/01/2023    4    39.11    0
   61 Bolivia115      1 01/01/2023    5    30.39    0
   63 Bosa115         1 01/01/2023    1    79.14    0
   63 Bosa115         1 01/01/2023    2    72.58    0
   63 Bosa115         1 01/01/2023    3    66.78    0
   63 Bosa115         1 01/01/2023    4     68.5    0
   63 Bosa115         1 01/01/2023    5    55.29    0
   65 Bosque66        1 01/01/2023    1    57.01    0
   65 Bosque66        1 01/01/2023    2    54.89    0
   65 Bosque66        1 01/01/2023    3    53.28    0
   65 Bosque66        1 01/01/2023    4    52.76    0
   65 Bosque66        1 01/01/2023    5     47.3    0
   67 Barbosa115      1 01/01/2023    1    13.24    0
   67 Barbosa115      1 01/01/2023    2     11.3    0
   67 Barbosa115      1 01/01/2023    3    10.29    0
   67 Barbosa115      1 01/01/2023    4    10.57    0
   67 Barbosa115      1 01/01/2023    5     8.54    0
   68 Brisas115       1 01/01/2023    1    16.66    0
   68 Brisas115       1 01/01/2023    2    14.12    0
   68 Brisas115       1 01/01/2023    3    12.62    0
   68 Brisas115       1 01/01/2023    4    12.74    0
   68 Brisas115       1 01/01/2023    5    10.05    0
   70 Barzal115       1 01/01/2023    1    54.97    0
   70 Barzal115       1 01/01/2023    2    44.01    0
   70 Barzal115       1 01/01/2023    3    40.55    0
   70 Barzal115       1 01/01/2023    4    39.28    0
   70 Barzal115       1 01/01/2023    5    33.92    0
   72 Buturama115     1 01/01/2023    1    21.68    0
   72 Buturama115     1 01/01/2023    2    20.55    0
   72 Buturama115     1 01/01/2023    3    20.03    0
   72 Buturama115     1 01/01/2023    4    19.82    0
   72 Buturama115     1 01/01/2023    5    18.12    0
   73 TaborBura115    1 01/01/2023    1    17.12    0
